full_date,day_of_week,is_weekend,is_holiday,holiday_name,hour,period_of_day,is_peak_hour,zone_name,avg_speed_kmh,congestion_index
2026-09-01 00:00:00,Tuesday,0,0,,6,Morning,0,MG Road / Central,15.9,0.46
2026-09-01 00:00:00,Tuesday,0,0,,6,Morning,0,Indiranagar,18.7,0.48
2026-09-01 00:00:00,Tuesday,0,0,,6,Morning,0,Whitefield,22.9,0.22
2026-09-01 00:00:00,Tuesday,0,0,,6,Morning,0,Koramangala,13.8,0.59
2026-09-01 00:00:00,Tuesday,0,0,,6,Morning,0,Jayanagar,25.3,0.19
2026-09-01 00:00:00,Tuesday,0,0,,6,Morning,0,Hebbal,23.2,0.19
2026-09-01 00:00:00,Tuesday,0,0,,6,Morning,0,Electronic City,17.8,0.28
2026-09-01 00:00:00,Tuesday,0,0,,6,Morning,0,HSR Layout,27.4,0.05
2026-09-01 00:00:00,Tuesday,0,0,,7,Morning,0,MG Road / Central,22.3,0.28
2026-09-01 00:00:00,Tuesday,0,0,,7,Morning,0,Indiranagar,18.4,0.29
2026-09-01 00:00:00,Tuesday,0,0,,7,Morning,0,Whitefield,16.8,0.43
2026-09-01 00:00:00,Tuesday,0,0,,7,Morning,0,Koramangala,14.9,0.41
2026-09-01 00:00:00,Tuesday,0,0,,7,Morning,0,Jayanagar,24.7,0.18
2026-09-01 00:00:00,Tuesday,0,0,,7,Morning,0,Hebbal,27.4,0.11
2026-09-01 00:00:00,Tuesday,0,0,,7,Morning,0,Electronic City,24.1,0.18
2026-09-01 00:00:00,Tuesday,0,0,,7,Morning,0,HSR Layout,28.4,0.18
2026-09-01 00:00:00,Tuesday,0,0,,8,Morning,1,MG Road / Central,6.9,0.7
2026-09-01 00:00:00,Tuesday,0,0,,8,Morning,1,Indiranagar,5.0,0.8
2026-09-01 00:00:00,Tuesday,0,0,,8,Morning,1,Whitefield,8.8,0.58
2026-09-01 00:00:00,Tuesday,0,0,,8,Morning,1,Koramangala,14.2,0.54
2026-09-01 00:00:00,Tuesday,0,0,,8,Morning,1,Jayanagar,11.2,0.64
2026-09-01 00:00:00,Tuesday,0,0,,8,Morning,1,Hebbal,13.3,0.54
2026-09-01 00:00:00,Tuesday,0,0,,8,Morning,1,Electronic City,17.4,0.37
2026-09-01 00:00:00,Tuesday,0,0,,8,Morning,1,HSR Layout,17.3,0.49
2026-09-01 00:00:00,Tuesday,0,0,,9,Morning,1,MG Road / Central,5.0,0.74
2026-09-01 00:00:00,Tuesday,0,0,,9,Morning,1,Indiranagar,7.1,0.74
2026-09-01 00:00:00,Tuesday,0,0,,9,Morning,1,Whitefield,17.2,0.47
2026-09-01 00:00:00,Tuesday,0,0,,9,Morning,1,Koramangala,7.2,0.82
2026-09-01 00:00:00,Tuesday,0,0,,9,Morning,1,Jayanagar,15.9,0.45
2026-09-01 00:00:00,Tuesday,0,0,,9,Morning,1,Hebbal,14.3,0.59
2026-09-01 00:00:00,Tuesday,0,0,,9,Morning,1,Electronic City,14.9,0.49
2026-09-01 00:00:00,Tuesday,0,0,,9,Morning,1,HSR Layout,15.1,0.42
2026-09-01 00:00:00,Tuesday,0,0,,10,Morning,1,MG Road / Central,8.8,0.8
2026-09-01 00:00:00,Tuesday,0,0,,10,Morning,1,Indiranagar,11.3,0.69
2026-09-01 00:00:00,Tuesday,0,0,,10,Morning,1,Whitefield,10.9,0.59
