is_rain,is_holiday,speed_kmh,duration_min,fare,full_date,pickup_zone
1,0,11.973392461197339,45.1,268.0,2026-09-01 00:00:00,HSR Layout
1,0,24.534883720930235,51.6,575.0,2026-09-01 00:00:00,Hebbal
1,0,27.07317073170732,16.4,209.0,2026-09-01 00:00:00,Indiranagar
1,0,35.581395348837205,8.6,156.0,2026-09-01 00:00:00,Indiranagar
1,0,12.696245733788396,29.3,162.0,2026-09-01 00:00:00,MG Road / Central
1,0,12.915254237288135,59.0,354.0,2026-09-01 00:00:00,Indiranagar
1,0,16.117021276595743,37.6,267.0,2026-09-01 00:00:00,Electronic City
1,0,22.857142857142858,37.8,381.0,2026-09-01 00:00:00,Electronic City
1,0,15.555555555555559,16.2,125.0,2026-09-01 00:00:00,Indiranagar
1,0,30.482315112540196,31.1,381.0,2026-09-01 00:00:00,MG Road / Central
1,0,20.0,3.3,51.0,2026-09-01 00:00:00,Jayanagar
1,0,23.373493975903614,24.9,267.0,2026-09-01 00:00:00,Jayanagar
1,0,15.42857142857143,21.0,135.0,2026-09-01 00:00:00,MG Road / Central
1,0,24.545454545454547,13.2,164.0,2026-09-01 00:00:00,MG Road / Central
1,0,20.395256916996047,25.3,258.0,2026-09-01 00:00:00,Electronic City
1,0,16.119402985074625,20.1,157.0,2026-09-01 00:00:00,Indiranagar
1,0,33.70786516853932,8.9,133.0,2026-09-01 00:00:00,Indiranagar
1,0,23.01369863013699,21.9,217.0,2026-09-01 00:00:00,Hebbal
1,0,21.682242990654203,32.1,321.0,2026-09-02 00:00:00,Whitefield
1,0,14.405594405594407,42.9,283.0,2026-09-02 00:00:00,Hebbal
1,0,14.006968641114984,28.7,168.0,2026-09-02 00:00:00,MG Road / Central
1,0,12.114832535885169,104.5,516.0,2026-09-02 00:00:00,Hebbal
1,0,17.894736842105264,5.7,65.0,2026-09-02 00:00:00,Jayanagar
1,0,30.000000000000004,7.6,120.0,2026-09-02 00:00:00,Hebbal
1,0,24.255319148936174,14.1,159.0,2026-09-02 00:00:00,Hebbal
1,0,33.33333333333333,19.8,250.0,2026-09-02 00:00:00,Indiranagar
1,0,28.64661654135338,26.6,301.0,2026-09-02 00:00:00,HSR Layout
1,0,30.72,25.0,316.0,2026-09-02 00:00:00,Hebbal
1,0,13.407079646017698,45.2,230.0,2026-09-02 00:00:00,Indiranagar
1,0,13.421052631578949,15.2,108.0,2026-09-02 00:00:00,HSR Layout
1,0,13.558863328822733,73.9,469.0,2026-09-02 00:00:00,Electronic City
1,0,11.103202846975089,28.1,159.0,2026-09-02 00:00:00,Koramangala
1,0,15.238095238095237,18.9,120.0,2026-09-02 00:00:00,Jayanagar
1,0,15.121951219512194,12.3,99.0,2026-09-02 00:00:00,Jayanagar
0,0,17.210526315789476,38.0,271.0,2026-09-03 00:00:00,Koramangala
0,0,24.642857142857142,11.2,142.0,2026-09-03 00:00:00,Hebbal
0,0,31.358024691358022,24.3,307.0,2026-09-03 00:00:00,Hebbal
0,0,17.54385964912281,51.3,366.0,2026-09-03 00:00:00,Electronic City
0,0,16.31901840490798,48.9,390.0,2026-09-03 00:00:00,HSR Layout
0,0,14.389534883720929,68.8,471.0,2026-09-03 00:00:00,Indiranagar
0,0,13.348946135831381,42.7,274.0,2026-09-03 00:00:00,Electronic City
0,0,14.859287054409005,53.3,384.0,2026-09-03 00:00:00,Hebbal
0,0,14.92957746478873,42.6,289.0,2026-09-03 00:00:00,Electronic City
0,0,22.40506329113924,15.8,168.0,2026-09-03 00:00:00,MG Road / Central
0,0,14.188034188034187,70.2,392.0,2026-09-03 00:00:00,MG Road / Central
0,0,13.7593984962406,53.2,287.0,2026-09-03 00:00:00,Koramangala
0,0,15.405405405405403,7.4,61.0,2026-09-03 00:00:00,Koramangala
0,0,16.11940298507463,53.6,326.0,2026-09-03 00:00:00,Koramangala
0,0,28.93732970027248,36.7,476.0,2026-09-03 00:00:00,Whitefield
0,0,14.05940594059406,30.3,183.0,2026-09-03 00:00:00,HSR Layout
0,0,22.35294117647059,5.1,66.0,2026-09-03 00:00:00,Jayanagar
0,0,28.94941634241245,25.7,278.0,2026-09-03 00:00:00,Jayanagar
0,0,26.666666666666664,14.4,177.0,2026-09-03 00:00:00,MG Road / Central
0,0,13.870967741935484,18.6,121.0,2026-09-03 00:00:00,HSR Layout
0,0,12.623376623376622,38.5,191.0,2026-09-03 00:00:00,Jayanagar
1,0,31.708860759493668,31.6,468.0,2026-09-04 00:00:00,MG Road / Central
1,0,19.034482758620687,14.5,119.0,2026-09-04 00:00:00,Hebbal
1,0,15.057915057915059,25.9,174.0,2026-09-04 00:00:00,Indiranagar
1,0,22.929936305732486,31.4,327.0,2026-09-04 00:00:00,Indiranagar
1,0,12.148997134670486,104.7,573.0,2026-09-04 00:00:00,Whitefield
1,0,27.83783783783784,44.4,538.0,2026-09-04 00:00:00,Hebbal
1,0,38.29787234042553,9.4,168.0,2026-09-04 00:00:00,Jayanagar
1,0,15.103448275862068,29.0,191.0,2026-09-04 00:00:00,Jayanagar
1,0,14.76923076923077,26.0,168.0,2026-09-04 00:00:00,Koramangala
