reading_time,zone_name,avg_speed_kmh,congestion_index
2026-09-01 06:00:00,MG Road / Central,15.9,0.46
2026-09-01 06:00:00,Indiranagar,18.7,0.48
2026-09-01 06:00:00,Whitefield,22.9,0.22
2026-09-01 06:00:00,Koramangala,13.8,0.59
2026-09-01 06:00:00,Jayanagar,25.3,0.19
2026-09-01 06:00:00,Hebbal,23.2,0.19
2026-09-01 06:00:00,Electronic City,17.8,0.28
2026-09-01 06:00:00,HSR Layout,27.4,0.05
2026-09-01 07:00:00,MG Road / Central,22.3,0.28
2026-09-01 07:00:00,Indiranagar,18.4,0.29
2026-09-01 07:00:00,Whitefield,16.8,0.43
2026-09-01 07:00:00,Koramangala,14.9,0.41
2026-09-01 07:00:00,Jayanagar,24.7,0.18
2026-09-01 07:00:00,Hebbal,27.4,0.11
2026-09-01 07:00:00,Electronic City,24.1,0.18
2026-09-01 07:00:00,HSR Layout,28.4,0.18
2026-09-01 08:00:00,MG Road / Central,6.9,0.7
2026-09-01 08:00:00,Indiranagar,5.0,0.8
2026-09-01 08:00:00,Whitefield,8.8,0.58
2026-09-01 08:00:00,Koramangala,14.2,0.54
2026-09-01 08:00:00,Jayanagar,11.2,0.64
2026-09-01 08:00:00,Hebbal,13.3,0.54
2026-09-01 08:00:00,Electronic City,17.4,0.37
2026-09-01 08:00:00,HSR Layout,17.3,0.49
2026-09-01 09:00:00,MG Road / Central,5.0,0.74
2026-09-01 09:00:00,Indiranagar,7.1,0.74
2026-09-01 09:00:00,Whitefield,17.2,0.47
2026-09-01 09:00:00,Koramangala,7.2,0.82
2026-09-01 09:00:00,Jayanagar,15.9,0.45
2026-09-01 09:00:00,Hebbal,14.3,0.59
2026-09-01 09:00:00,Electronic City,14.9,0.49
2026-09-01 09:00:00,HSR Layout,15.1,0.42
2026-09-01 10:00:00,MG Road / Central,8.8,0.8
2026-09-01 10:00:00,Indiranagar,11.3,0.69
2026-09-01 10:00:00,Whitefield,10.9,0.59
2026-09-01 10:00:00,Koramangala,10.8,0.74
2026-09-01 10:00:00,Jayanagar,16.8,0.55
2026-09-01 10:00:00,Hebbal,24.6,0.24
2026-09-01 10:00:00,Electronic City,12.6,0.56
2026-09-01 10:00:00,HSR Layout,9.2,0.56
2026-09-01 11:00:00,MG Road / Central,19.5,0.37
2026-09-01 11:00:00,Indiranagar,11.6,0.58
2026-09-01 11:00:00,Whitefield,24.4,0.15
2026-09-01 11:00:00,Koramangala,15.4,0.51
2026-09-01 11:00:00,Jayanagar,25.4,0.19
2026-09-01 11:00:00,Hebbal,24.1,0.26
2026-09-01 11:00:00,Electronic City,24.4,0.17
2026-09-01 11:00:00,HSR Layout,21.0,0.2
2026-09-01 12:00:00,MG Road / Central,17.5,0.44
2026-09-01 12:00:00,Indiranagar,17.5,0.4
2026-09-01 12:00:00,Whitefield,26.8,0.08
2026-09-01 12:00:00,Koramangala,17.6,0.36
2026-09-01 12:00:00,Jayanagar,23.9,0.23
2026-09-01 12:00:00,Hebbal,16.1,0.48
2026-09-01 12:00:00,Electronic City,21.4,0.28
2026-09-01 12:00:00,HSR Layout,28.4,0.05
2026-09-01 13:00:00,MG Road / Central,22.7,0.41
2026-09-01 13:00:00,Indiranagar,19.3,0.38
2026-09-01 13:00:00,Whitefield,20.3,0.25
2026-09-01 13:00:00,Koramangala,15.4,0.54
2026-09-01 13:00:00,Jayanagar,17.8,0.34
2026-09-01 13:00:00,Hebbal,14.6,0.42
2026-09-01 13:00:00,Electronic City,24.8,0.32
2026-09-01 13:00:00,HSR Layout,24.9,0.13
2026-09-01 14:00:00,MG Road / Central,16.6,0.41
2026-09-01 14:00:00,Indiranagar,23.7,0.21
2026-09-01 14:00:00,Whitefield,27.3,0.12
2026-09-01 14:00:00,Koramangala,24.4,0.29
2026-09-01 14:00:00,Jayanagar,24.7,0.16
2026-09-01 14:00:00,Hebbal,17.1,0.35
2026-09-01 14:00:00,Electronic City,24.3,0.28
2026-09-01 14:00:00,HSR Layout,28.7,0.06
2026-09-01 15:00:00,MG Road / Central,18.6,0.43
2026-09-01 15:00:00,Indiranagar,19.8,0.25
2026-09-01 15:00:00,Whitefield,21.2,0.31
2026-09-01 15:00:00,Koramangala,17.8,0.43
2026-09-01 15:00:00,Jayanagar,25.4,0.17
2026-09-01 15:00:00,Hebbal,20.0,0.29
2026-09-01 15:00:00,Electronic City,16.7,0.47
2026-09-01 15:00:00,HSR Layout,28.1,0.11
2026-09-01 16:00:00,MG Road / Central,23.1,0.28
2026-09-01 16:00:00,Indiranagar,12.2,0.54
2026-09-01 16:00:00,Whitefield,19.9,0.37
2026-09-01 16:00:00,Koramangala,18.8,0.5
2026-09-01 16:00:00,Jayanagar,21.9,0.22
2026-09-01 16:00:00,Hebbal,24.1,0.14
2026-09-01 16:00:00,Electronic City,23.5,0.24
2026-09-01 16:00:00,HSR Layout,23.2,0.28
2026-09-01 17:00:00,MG Road / Central,11.9,0.7
2026-09-01 17:00:00,Indiranagar,15.4,0.67
2026-09-01 17:00:00,Whitefield,9.5,0.63
2026-09-01 17:00:00,Koramangala,13.8,0.57
2026-09-01 17:00:00,Jayanagar,15.7,0.52
2026-09-01 17:00:00,Hebbal,11.7,0.61
2026-09-01 17:00:00,Electronic City,13.5,0.45
2026-09-01 17:00:00,HSR Layout,16.8,0.5
2026-09-01 18:00:00,MG Road / Central,5.7,0.73
2026-09-01 18:00:00,Indiranagar,9.1,0.72
2026-09-01 18:00:00,Whitefield,17.0,0.44
2026-09-01 18:00:00,Koramangala,6.5,0.71
2026-09-01 18:00:00,Jayanagar,13.3,0.59
2026-09-01 18:00:00,Hebbal,11.7,0.68
2026-09-01 18:00:00,Electronic City,16.6,0.38
2026-09-01 18:00:00,HSR Layout,12.7,0.61
2026-09-01 19:00:00,MG Road / Central,14.9,0.76
2026-09-01 19:00:00,Indiranagar,9.2,0.77
2026-09-01 19:00:00,Whitefield,11.4,0.66
2026-09-01 19:00:00,Koramangala,11.7,0.66
2026-09-01 19:00:00,Jayanagar,15.8,0.46
2026-09-01 19:00:00,Hebbal,15.4,0.49
2026-09-01 19:00:00,Electronic City,5.0,0.83
2026-09-01 19:00:00,HSR Layout,7.8,0.63
2026-09-01 20:00:00,MG Road / Central,12.9,0.64
2026-09-01 20:00:00,Indiranagar,6.6,0.71
2026-09-01 20:00:00,Whitefield,17.4,0.46
2026-09-01 20:00:00,Koramangala,12.1,0.61
